iter	Passed	Remaining
0	450	224805
1	458	114214
2	466	77267
3	474	58810
4	484	47936
5	493	40661
6	504	35547
7	516	31743
8	528	28824
9	540	26482
10	552	24583
11	578	23523
12	592	22184
13	601	20893
14	617	19953
15	629	19034
16	637	18114
17	647	17346
18	657	16637
19	667	16016
20	678	15465
21	686	14916
22	697	14458
23	707	14025
24	716	13621
25	726	13251
26	736	12900
27	748	12624
28	768	12479
29	780	12228
30	794	12020
31	806	11793
32	816	11560
33	828	11354
34	840	11166
35	849	10950
36	860	10767
37	870	10586
38	879	10400
39	890	10241
40	900	10081
41	909	9916
42	920	9780
43	928	9619
44	939	9501
45	949	9372
46	959	9252
47	971	9145
48	982	9042
49	991	8927
50	1002	8829
51	1017	8765
52	1026	8660
53	1036	8561
54	1046	8464
55	1055	8365
56	1065	8280
57	1075	8196
58	1089	8142
59	1102	8083
60	1112	8005
61	1123	7934
62	1134	7870
63	1144	7797
64	1154	7726
65	1167	7675
66	1178	7613
67	1187	7544
68	1199	7492
69	1209	7431
70	1220	7376
71	1233	7332
72	1246	7288
73	1256	7231
74	1267	7183
75	1280	7144
76	1292	7102
77	1303	7054
78	1314	7003
79	1324	6956
80	1336	6911
81	1347	6867
82	1358	6827
83	1369	6784
84	1381	6743
85	1390	6694
86	1403	6660
87	1415	6627
88	1426	6587
89	1437	6549
90	1447	6507
91	1458	6466
92	1469	6430
93	1479	6388
94	1491	6358
95	1503	6327
96	1512	6282
97	1524	6254
98	1535	6220
99	1546	6187
100	1558	6155
101	1572	6134
102	1585	6110
103	1596	6079
104	1607	6048
105	1621	6027
106	1634	6004
107	1644	5969
108	1656	5943
109	1668	5917
110	1679	5884
111	1690	5855
112	1704	5835
113	1715	5807
114	1726	5778
115	1736	5748
116	1746	5717
117	1755	5683
